feature,importance
accel_z_min_20,0.09076994449216917
accel_z_std_20,0.08946385024594687
accel_z_std_10,0.08121809159160279
accel_y_std_10,0.05052903278083695
gyro_mag_mean_20,0.045838242546475706
accel_z_max_20,0.045492212878897875
accel_y_std_20,0.04534563086459466
gyro_mag_mean_10,0.033272423700077026
accel_x_std_20,0.03174033975547365
gyro_mag_std_10,0.02820022324274621
gyro_mag_min_10,0.024805416621370112
gyro_mag_std_20,0.024243527670323704
gyro_mag_max_20,0.023271854366816468
accel_x_std_10,0.02276852718647866
gyro_mag_mean_5,0.020418721680217453
gyro_mag_min_20,0.019651006303399426
accel_y_std_5,0.018521654528725635
gyro_mag_max_10,0.016920956304362716
accel_z_max_10,0.015698128083524478
gyro_mag_min_5,0.015574079857063043
accel_z_std_5,0.014382762715700232
accel_z_min_10,0.013009458229814131
accel_x_max_20,0.012920365433780652
gyro_mag_max_5,0.012314793175285237
accel_x_std_5,0.00982639759176233
accel_y_min_20,0.008781023114885008
accel_y_max_20,0.007931947590857113
accel_x_mean_20,0.007647445773764691
accel_y_mean_20,0.007481502906415633
accel_x_max_10,0.006918819942727378
accel_mag_std_20,0.006736565640703879
accel_y_max_10,0.0066508645299822155
accel_mag_std_10,0.006517637204847315
gyro_mag_std_5,0.006392638152987256
accel_y_min_10,0.006044897405959217
accel_mag_min_20,0.005721445820344059
gyro_magnitude,0.005601511378538311
accel_mag_max_20,0.005475267033912197
accel_mag_max_10,0.005285553569861282
motion_energy_20,0.005273134833932159
accel_x_mean_10,0.005159538684523407
accel_x_min_20,0.005070462966479763
accel_x_max_5,0.004999884609950997
accel_y_mean_10,0.004837416583256598
accel_x_min_10,0.004786491935975498
accel_mag_min_10,0.0046426505392024595
accel_mag_mean_20,0.004304001424661934
accel_mag_mean_10,0.004155883268301415
accel_rms_20,0.003780931117516886
accel_y_max_5,0.0037740508731346207
accel_z_max_5,0.003750253424005162
accel_z_mean_20,0.003695723811525293
accel_mag_max_5,0.003478638247430231
accel_y_min_5,0.003340595890683017
accel_mag_std_5,0.003166610967427255
accel_x_mean_5,0.003102059199601132
accel_z_min_5,0.0030938491133743525
accel_mag_min_5,0.0030546738279397267
accel_y_mean_5,0.003043428354417259
accel_x_min_5,0.002707742781230465
accel_rms_10,0.002538822643599708
accel_z_mean_10,0.0024602505184432456
motion_energy_10,0.0023434476950538498
accel_mag_mean_5,0.00211124383777598
accel_z_mean_5,0.001609903006558581
linear_accel_x,0.0010844667583406352
linear_accel_y,0.0009513300477589335
accel_magnitude,0.0008484216305916812
linear_accel_z,0.0006639856825882338
gyro_mag_delta,0.0006617266830753913
accel_x_delta,0.0005841182402853123
accel_y_delta,0.0005554357276851684
accel_mag_delta,0.0004946128627584781
accel_z_delta,0.0004894502976844207
